Word,Translation
в,in
не,not
он,he
на,on
я,I
что,A what
тот,that
быть,be
с,with
а,and
весь,all
это,This is
как,how
она,She is
по,along
но,but
они,they
к,to
у,at
ты,You will
из,from
мы,We are
за,behind
вы,You
так,so
же,same
от,From
сказать,say
этот,This one
который,Which one
мочь,can
человек,person
о,about
один,one
еще,more
бы,Would
такой,such
только,only
себя,themselves
свое,Your
какой,what
когда,when
уже,Already have
для,for
вот,here
кто,who
да,Yes
говорить,speak
год,year
знать,To know
мой,my
до,before
или,or
если,if
время,It's time
рука,hand
нет,No
самый,the most
ни,nor
стать,become
большой,big
даже,even
другой,other
наш,our
свой,its
ну,well
под,under
где,Where is
дело,business
есть,eat
сам,himself
раз,time
чтобы,that
два,two
там,Over there
чем,than
глаз,eye
жизнь,life
первый,first
день,day
тута,mulberry
во,in
ничто,nothing
потом,later
очень,Very much
со,with
хотеть,To want
ли,whether
при,at
голова,head
надо,must
без,without
видеть,see
идти,go
теперь,For now
тоже,also
стоять,stand
друг,A friend
дом,House
сейчас,Right away
можно,Can
после,after
слово,word
здесь,In here
думать,think
место,place
спросить,ask
через,through
лицо,face
что,A what
тогда,then
ведь,you see
хороший,good
каждый,each
новый,new
жить,live
должный,due
смотреть,look
почему,why
потому,therefore
сторона,side
просто,simply
нога,leg
сидеть,sit
понять,understand
иметь,have
конечный,finite
делать,do
вдруг,suddenly
над,above
взять,take
никто,No one
сделать,To be done
дверь,The door
перед,before
нужный,necessary
понимать,understand
казаться,seem
работа,work
три,three
ваш,your
уж,grass snake
земля,earth
конец,The end
несколько,several
час,hour
голос,voice
город,city
последний,last
пока,So long
хорошо,Ok
давать,To give
вода,water
более,more
хотя,though
всегда,always
второй,second
куда,Where to
пойти,go
стол,table
ребенок,child
увидеть,To see
сила,strength
отец,father
женщина,woman
машина,machine
случай,case
ночь,night
сразу,at once
мир,world
совсем,At all
остаться,stay
об,about
вид,view
выйти,Exit
дать,give
работать,To work
любить,love
старый,old
почти,almost
ряд,row
оказаться,turn out
начало,beginning
твой,your
вопрос,question
много,A lot
война,war
снова,Once again
ответить,answer
между,between
подумать,think
опять,again
белый,White
деньги,The money
значить,mean
про,about
лишь,only
минута,minute
жена,wife
посмотреть,look
правда,Really
главный,main
страна,country
свет,light
ждать,wait
мать,mother
будто,as if
никогда,never
товарищ,comrade
дорога,road
однако,however
лежать,lie
именно,namely
окно,window
никакой,no
найти,To find
писать,write
комната,room
москва,Moscow
часть,part
вообще,generally
книга,book
маленький,small
улица,street
решить,solve
далекий,far
душа,soul
чуть,hardly
вернуться,return
утро,morning
некоторый,some
считать,count
сколько,How many
помнить,remember
вечер,Evening
пол,floor
таки,Taki
получить,Get
народ,people
плечо,shoulder
хоть,although
сегодня,today
бог,god
вместе,together
взгляд,opinion
ходить,walk
зачем,What for
советский,Soviet
русский,Russian
бывать,be
полный,full
прийти,come
палец,finger
россия,Russia
любой,any
история,history
наконец,finally
мысль,thought
узнать,Find out
назад,Back
общий,general
заметить,notice
словно,like
прошлый,past
уйти,Get away
известный,known
давно,long ago
слышать,hear
слушать,listen
бояться,fear
сын,son
нельзя,must not
прямо,straight
долго,long
быстро,quickly
лес,forest
похожий,similar
пора,pore
пять,five
глядеть,look
оно,it
сесть,sit down
имя,name
ж,W
разговор,conversation
тело,body
молодой,young
стена,wall
красный,red
читать,read
право,right
старик,old man
ранний,early
хотеться,want
мама,mummy
оставаться,stay
высокий,high
путь,path
поэтому,therefore
совершенно,absolutely
кроме,except
тысяча,thousand
месяц,month
брать,take
написать,To write
целый,whole
огромный,huge
начинать,begin
спина,back
настоящий,true
пусть,let
язык,tongue
точно,That's right
среди,among
чувствовать,feel
сердце,heart
вести,lead
иногда,sometimes
мальчик,boy
успеть,manage
небо,sky
живой,alive
смерть,death
продолжать,continue
девушка,girl
образ,image
ко,co
забыть,forget
вокруг,around
письмо,letter
власть,power
черный,black
пройти,pass
появиться,appear
воздух,air
разный,different
выходить,go out
просить,ask
брат,brother
собственный,own
отношение,attitude
затем,then
пытаться,To try
показать,show
вспомнить,remember
система,system
четыре,four
квартира,apartment
держать,hold
также,likewise
любовь,love
солдат,soldier
откуда,From where
чтоб,so that
называть,call
третий,third
хозяин,master
вроде,Kind of
уходить,leave
подойти,fit
поднять,raise
особенно,especially
спрашивать,ask
начальник,chief
оба,both
бросить,throw
школа,school
парень,guy
кровь,blood
двадцать,twenty
солнце,The sun
неделя,week
послать,send
находиться,be
ребята,boys
поставить,put
встать,get up
например,For example
шаг,step
мужчина,man
равно,equally
нос,nose
мало,little
внимание,attention
капитан,captain
ухо,ear
туда,there
сюда,This way
играть,play
следовать,follow
рассказать,tell
великий,great
действительно,really
слишком,too
тяжелый,heavy
спать,sleep
оставить,leave
войти,Log in
длинный,long
чувство,sense
молчать,silent
рассказывать,tell
отвечать,answer
становиться,become
остановиться,stop
берег,bank
семья,family
искать,search
генерал,general
момент,Just a moment
десять,ten
начать,begin
следующий,next
личный,personal
труд,labour
верить,believe
группа,group
немного,A little
впрочем,however
видно,apparently
являться,appear
муж,husband
разве,perhaps
движение,movement
порядок,That is ok
ответ,answer
тихо,Be quiet
знакомый,acquaintance
газета,newspaper
помощь,help
сильный,strong
скорый,rapid
собака,dog
дерево,tree
снег,snow
сон,dream
смысл,meaning
смочь,can
против,against
бежать,run
двор,yard
форма,form
простой,simple
приехать,come
иной,other
кричать,shout
возможность,possibility
общество,society
зеленый,green
грудь,breast
угол,corner
открыть,open
происходить,occur
ладно,okay
черный,black
век,century
карман,pocket
ехать,go
немец,German
наверное,I guess
губа,lip
дядя,uncle
приходить,come
часто,often
домой,home
огонь,fire
писатель,writer
армия,army
состояние,condition
зуб,tooth
очередь,queue
кой,who
подняться,climb
камень,stone
гость,guest
показаться,seem
ветер,wind
собираться,gather
попасть,get
принять,accept
сначала,first
либо,or
поехать,go
услышать,hear
уметь,can
случиться,happen
странный,strange
единственный,only
рота,company
закон,law
короткий,short
море,sea
добрый,kind
темный,dark
гора,mountain
врач,doctor
край,edge
стараться,try
лучший,best
река,river
военный,military
мера,measure
страшный,terrible
вполне,quite
звать,call
произойти,happen
вперед,forward
медленно,slowly
возле,near
никак,nohow
заниматься,study
действие,action
довольно,quite
вещь,thing
необходимый,necessary
ход,move
боль,pain
судьба,fate
причина,reason
положить,Put it down
едва,hardly
черта,line
девочка,The girl
легкий,light
волос,hair
купить,buy
номер,number
основной,principal
широкий,wide
умереть,die
далеко,Far away
плохо,Not good
глава,chapter
красивый,beautiful
серый,grey
пить,drink
командир,commander
обычно,usually
партия,party
проблема,problem
страх,fear
проходить,Get in
ясно,I see
снять,remove
бумага,paper
герой,hero
пара,pair
государство,state
деревня,village
речь,speech
начаться,start
средство,means
положение,position
связь,connection
скоро,Coming soon
небольшой,small
представлять,represent
завтра,tomorrow
объяснить,explain
пустой,empty
произнести,pronounce
человеческий,human
нравиться,like
однажды,Once upon a time
мимо,past
иначе,otherwise
существовать,exist
класс,class
удаться,succeed
толстый,thick
цель,purpose
сквозь,through
прийтись,come on
чистый,clean
знать,To know
прежний,former
профессор,professor
господин,Mister
счастье,happiness
худой,thin
дух,spirit
план,plan
чужой,strange
зал,hall
представить,present
особый,special
директор,director
бывший,former
память,memory
близкий,near
сей,this
результат,result
больной,sick
данный,given
кстати,By the way
назвать,call
след,trace
улыбаться,smile
бутылка,bottle
трудно,hard
условие,condition
прежде,before
ум,intellect
улыбнуться,smile
процесс,process
картина,picture
вместо,Instead of
старший,senior
легко,It's easy
центр,center
подобный,similar
возможно,It's possible
около,about
смеяться,laugh
сто,One hundred
будущее,future
хватать,seize
число,number
всякое,Every
рубль,rouble
почувствовать,feel
принести,bring
вера,belief
вовсе,Is
удар,blow
телефон,telephone
колено,knee
согласиться,agree
мало,little
коридор,corridor
мужик,man
правый,right
автор,author
холодный,cold
хватить,suffice
многие,many
встреча,meeting
кабинет,cabinet
документ,document
самолет,airplane
вниз,down
принимать,accept
игра,game
рассказ,story
хлеб,bread
развитие,development
убить,kill
родной,native
открытый,open
менее,less
предложить,propose
желтый,yellow
приходиться,fall
выпить,drink
крикнуть,shout
трубка,pipe
враг,enemy
показывать,show
двое,two
доктор,doctor
ладонь,palm
вызвать,cause
спокойно,Be quiet
попросить,ask
наука,science
лейтенант,lieutenant
служба,service
оказываться,prove
привести,lead
сорок,forty
счет,account
возвращаться,return
золотой,golden
местный,local
кухня,kitchen
крупный,big
решение,decision
молодая,Young
тридцать,thirty
роман,novel
требовать,demand
компания,company
частый,frequent
российский,Russian
рабочий,worker
потерять,lose
течение,flow
синий,blue
столько,so much
теплый,warm
метр,meter
достать,get
железный,iron
институт,institute
сообщить,report
интерес,interest
обычный,usual
появляться,appear
упасть,fall
остальной,remaining
половина,half
московский,Moscow
шесть,six
получиться,Get
качество,quality
бой,combat
шея,neck
вон,Beat it
идея,idea
видимо,apparently
достаточно,enough
провести,spend
важный,important
трава,grass
дед,grandfather
сознание,consciousness
родитель,parent
простить,forgive
бить,beat
чай,tea
поздний,late
кивнуть,nod
род,genus
исчезнуть,disappear
тонкий,thin
немецкий,German
звук,sound
отдать,give
магазин,shop
президент,president
поэт,poet
спасибо,Thank you
болезнь,illness
событие,event
помочь,help
кожа,skin
лист,leaf
слать,send
вспоминать,remember
прекрасный,beautiful
слеза,tear
надежда,hope
молча,silently
сильно,strongly
верный,faithful
литература,literature
оружие,weapon
готовый,ready
запах,smell
неожиданно,unexpectedly
вчера,yesterday
вздохнуть,sigh
роль,role
рост,growth
природа,nature
политический,political
точка,dot
звезда,star
петь,sing
садиться,sit down
фамилия,surname
характер,character
пожалуйста,You are welcome
выше,above
офицер,officer
толпа,crowd
перестать,stop
придтись,come on
уровень,level
неизвестный,unknown
кресло,armchair
баба,tup
секунда,second
пожаловать,bestow
банк,bank
опыт,experience
тихий,quiet
поскольку,as
сапог,boot
правило,rule
стекло,glass
получать,receive
внутренний,internal
дочь,daughter
называться,be called
надеяться,hope
член,member
протянуть,extend
государственный,state
десяток,ten
глубокий,deep
цветок,flower
ах,ah
желание,desire
дождь,rain
впереди,ahead
подходить,suit
много,A lot
лоб,forehead
улыбка,smile
борьба,struggle
ворот,winch
ящик,box
этаж,floor
служить,serve
вновь,again
голубой,blue
нечего,Nothing
революция,revolution
впервые,First
сосед,neighbor
сестра,sister
долгий,long
чей,whose
поверить,believe
ситуация,situation
взглянуть,glance
слабый,weak
количество,quantity
вызывать,call
уверенный,sure
выход,exit
совет,advice
дурак,fool
любимый,beloved
союз,union
лето,summer
ожидать,expect
пришлый,alien
висеть,hang
граница,border
цвет,Color
серьезный,serious
создать,create
интересно,Interesting
свобода,freedom
зато,But
стул,chair
уехать,leave
поезд,train
музыка,music
быстрый,quick
тень,shadow
лошадь,horse
поле,field
выглядеть,look
учиться,To study
левый,left
разговаривать,talk
детский,childish
тип,type
суд,court
связанный,connected
горячий,hot
площадь,square
помогать,help
счастливый,happy
повернуться,turn
позволить,permit
встретить,meet
радость,joy
острый,sharp
возраст,age
орган,organ
карта,map
входить,enter
обнаружить,detect
король,king
слава,glory
полковник,colonel
мелкий,shallow
бок,side
цена,price
информация,information
мозг,brain
удовольствие,pleasure
воля,will
область,region
крыша,roof
нести,carry
обратно,inversely
современный,Up to date
дама,lady
семь,seven
веселый,cheery
прислать,Send
сад,garden
правительство,government
милый,Sweetheart
относиться,relate
возникать,arise
мол,jetty
повторить,Try again
название,name
средний,average
пример,example
невозможно,That's impossible
зеркало,mirror
погибнуть,perish
американский,American
дым,smoke
гореть,burn
плакать,weep
весьма,very
факт,fact
двигаться,move
рыба,fish
добавить,add
удивиться,wonder
бабушка,grandmother
вино,wine
ибо,because
учитель,teacher
действовать,act
осторожно,Watch out
круг,circle
папа,daddy
правильно,Correct
недавно,recently
держаться,hold on
причем,And
лететь,fly
носить,To wear
повод,cause
лагерь,camp
птица,bird
корабль,ship
мнение,opinion
ночной,nocturnal
здоровый,healthy
зима,winter
сухой,dry
километр,kilometer
кровать,bed
привыкнуть,Used
прочее,Other
свободный,free
лестница,ladder
неужели,Is it
обязательно,Sure
вверх,Top
детство,childhood
остров,island
статья,article
позвонить,Call
столь,so
мешать,hinder
водка,vodka
темнота,darkness
возникнуть,originate
способный,capable
станция,station
желать,wish
попробовать,try
получаться,result
гражданин,citizen
странно,strangely
вскоре,soon
интересный,interesting
команда,team
заболевание,disease
живот,belly
ставить,set
ради,for
тишина,silence
понятно,Got it
фронт,front
щека,cheek
страшно,it is frightful
район,district
наверно,probably
проводить,conduct
выражение,expression
слегка,slightly
мешок,sack
обещать,promise
дорогой,My dear
судить,judge
большинство,majority
собраться,gather
управление,management
колоть,prick
мокрый,wet
приказ,order
прямой,straight
закричать,cry out
кончиться,end
куст,bush
стрелять,shoot
художник,artist
знак,sign
завод,plant
кулак,fist
использовать,use
стакан,glass
пахнуть,smell
отсюда,hence
рот,mouth
пора,pore
передать,give
лечение,treatment
высший,supreme
сутки,day
вставать,rise
операция,operation
пространство,space
спокойный,calm
одежда,clothing
кусок,piece
тема,Subject
животный,animal
снимать,photograph
искусство,art
умный,clever
малый,small
курс,course
звонить,ring
очередной,next
чудо,A miracle
ощущение,sensation
крайний,extreme
напоминать,remind
придумать,contrive
падать,fall
здание,building
свежий,fresh
поговорить,talk
начинаться,start
милиция,militia
приказать,order
несмотря,despite
оттуда,thence
засмеяться,laugh
волна,wave
задача,task
касаться,touch
старуха,old woman
войско,army
срок,term
ужас,horror
узкий,narrow
материал,material
приняться,Take over
нормальный,normal
крик,cry
знание,knowledge
трое,three
четвертый,fourth
шум,noise
заставить,compel
автомат,automaton
резко,harshly
тетя,aunt
впечатление,impression
пауза,pause
глубина,depth
доллар,dollar
сотня,hundred
виноватый,guilty
студент,student
боевой,fighting
очко,point
нож,knife
подниматься,rise
мировой,worldwide
предмет,subject
плохой,bad
майор,major
ударить,hit
разуметься,Take it for granted
точный,accurate
всякий,any
деятельность,activity
инженер,engineer
программа,program
костюм,costume
женский,female
крепкий,strong
театр,theatre
встречаться,occur
различный,different
хвост,tail
танк,tank
социальный,social
мертвый,dead
попытаться,try
явно,obviously
журнал,journal
конь,horse
схватить,seize
вдоль,along
стихи,verse
степень,degree
отказаться,refuse
вытащить,Pull
предлагать,offer
фигура,figure
ключ,The key
черт,deuce
отправиться,Go
побежать,Run
вагон,car
культура,culture
курить,smoke
боец,fighter
западный,western
фильм,film
восемь,eight
открывать,open
зайти,enter
немедленно,Right away
замечать,notice
верно,faithfully
пыль,dust
закончить,finish
мягкий,soft
труба,pipe
редкий,rare
миллион,million
следить,watch
масса,mass
пятьдесят,fifty
обстоятельство,circumstance
всякий,any
одновременно,simultaneously
броситься,rush
пошлый,vulgar
круглый,round
штаб,headquarters
слух,hearing
голый,bare
закрыть,close
линия,line
лодка,boat
наоборот,vice versa
даль,distance
председатель,chairman
понравиться,Like
обратиться,address
период,period
организм,organism
отдел,department
весна,spring
обед,dinner
значение,meaning
дно,bottom
фотография,photography
некий,some
успех,success
грязный,dirty
естественно,naturally
велеть,order
сцена,scene
билет,ticket
состав,composition
знаменитый,famous
лишний,spare
честь,honour
иметься,be
смех,laughter
ссср,USSR
деревянный,wooden
опустить,sink
родиться,born
способ,way
спасти,save
зрение,vision
английский,English
отдельный,separate
извинить,excuse
громко,aloud
объявить,declare
запад,west
германия,Germany
обращаться,apply
население,population
беда,trouble
спешить,hurry
еда,meal
поздно,It's late
специальный,special
наблюдать,To watch
еврей,Jew
ой,ouch
суметь,succeed
обернуться,turn
министр,minister
фирма,firm
проснуться,wake up
организация,organization
принцип,principle
направление,direction
гораздо,much
мастер,master
подождать,wait
светлый,light
ошибка,error
высота,height
существо,creature
заговорить,begin to speak
мальчишка,urchin
пользоваться,use
научный,scientific
повторять,repeat
яркий,bright
несколько,several
учить,teach
взяться,fall to
бегать,run
господь,lord
общественный,public
устроить,arrange
дышать,breathe
лечь,lie down
сша,United States
камера,camera
победа,victory
ученый,scientist
состоять,consist
заходить,enter
человечество,mankind
фраза,phrase
внимательно,attentively
гот,goth
считаться,consider
вероятно,probably
соседний,adjacent
замок,lock
рыжий,red
ездить,go
господи,God
остановить,stop
встретиться,meet
явиться,appear
рынок,market
тяжело,heavily
злой,evil
клуб,club
привезти,bring
платить,pay
кость,bone
дикий,wild
личность,personality
столица,capital
спасть,Sleep
здоровье,health
здравствовать,Hello
попытка,attempt
позволять,allow
наиболее,most
постепенно,gradually
пятый,fifth
определенный,definite
читатель,reader
шутка,joke
исторический,historic
вслед,after
сотрудник,collaborator
внутри,inside
собственно,Actually
родина,homeland
царь,tsar
насчет,About
страница,page
скорость,speed
зверь,beast
помочь,help
заявить,state
нечто,something
размер,size
житель,inhabitant
секретарь,secretary
городской,urban
прекрасно,Well done
торчать,protrude
многое,much
америка,America
весело,merrily
сигарета,cigarette
полностью,fully
пиво,beer
возможный,possible
прием,reception
противник,adversary
образование,education
продукт,product
поймать,catch
пуля,bullet
книжка,book
дальний,far
экономический,economic
представитель,representative
собирать,collect
видимый,visible
производство,production
больница,hospital
ресторан,restaurant
находить,find
диван,sofa
дыхание,breath
тюрьма,prison
легкое,lung
мясо,meat
внизу,below
кошка,cat
взрослый,adult
отсутствие,absence
настроение,mood
собрать,collect
наступить,Step
покой,rest
тянуть,pull
народный,folk
процент,percent
постоянно,permanently
бросать,throw
мечтать,dream
захотеть,Want
автобус,bus
восток,east
оставлять,leave
усмехнуться,smile
эхо,echo
примерно,approximately
автомобиль,car
внешний,external
технический,technical
пропасть,precipice
выдержать,withstand
миг,moment
отряд,troop
сверху,above
настолько,so
встречать,meet
пускать,let
ясный,clear
занятие,occupation
реальный,real
задний,rear
европа,Europe
случайно,accidentally
артист,artist
сложный,complex
планета,planet
порог,threshold
явление,phenomenon
отпустить,release
красота,beauty
воскликнуть,exclaim
напротив,On the contrary
дрожать,shiver
палатка,tent
выбрать,choose
пьяный,drunk
рада,rada
доска,board
пистолет,pistol
пожать,Shake
актер,actor
раздаться,ring out
зря,in vain
потолок,ceiling
постель,bed
навстречу,towards
ближайший,nearest
сумка,bag
